name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section,references
149-AL1/24-ST1A 10.0,50.0,0.19399999999999998,0.315,11.25,0.47,ol,149.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
149-AL1/24-ST1A 110.0,50.0,0.19399999999999998,0.41,8.75,0.47,ol,149.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
149-AL1/24-ST1A 20.0,50.0,0.19399999999999998,0.337,10.5,0.47,ol,149.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
15-AL1/3-ST1A 0.4,50.0,1.8769,0.35,11.0,0.105,ol,16.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
184-AL1/30-ST1A 110.0,50.0,0.1571,0.4,8.8,0.535,ol,184.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
184-AL1/30-ST1A 20.0,50.0,0.1571,0.33,10.75,0.535,ol,184.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
24-AL1/4-ST1A 0.4,50.0,1.2012,0.335,11.25,0.14,ol,24.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
243-AL1/39-ST1A 110.0,50.0,0.1188,0.39,9.0,0.645,ol,243.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
243-AL1/39-ST1A 20.0,50.0,0.1188,0.32,11.0,0.645,ol,243.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
305-AL1/39-ST1A 110.0,50.0,0.0949,0.38,9.2,0.74,ol,305.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
48-AL1/8-ST1A 0.4,50.0,0.5939,0.3,12.2,0.21,ol,48.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
48-AL1/8-ST1A 10.0,50.0,0.5939,0.35,10.1,0.21,ol,48.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
48-AL1/8-ST1A 20.0,50.0,0.5939,0.37200000000000005,9.5,0.21,ol,48.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
490-AL1/64-ST1A 220.0,50.0,0.059000000000000004,0.285,10.0,0.96,ol,490.0,pandapower
490-AL1/64-ST1A 380.0,50.0,0.059000000000000004,0.253,11.0,0.96,ol,490.0,pandapower
94-AL1/15-ST1A 0.4,50.0,0.306,0.29,13.2,0.35,ol,94.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
94-AL1/15-ST1A 10.0,50.0,0.306,0.33,10.75,0.35,ol,94.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
94-AL1/15-ST1A 20.0,50.0,0.306,0.35,10.0,0.35,ol,94.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013)
N2XS(FL)2Y 1x120 RM/35 64/110 kV,50.0,0.153,0.166,112.0,0.366,cs,120.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
N2XS(FL)2Y 1x185 RM/35 64/110 kV,50.0,0.099,0.156,125.0,0.457,cs,185.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
N2XS(FL)2Y 1x240 RM/35 64/110 kV,50.0,0.075,0.149,135.0,0.526,cs,240.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
N2XS(FL)2Y 1x300 RM/35 64/110 kV,50.0,0.06,0.14400000000000002,144.0,0.588,cs,300.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NA2XS2Y 1x185 RM/25 12/20 kV,50.0,0.161,0.11699999999999999,273.0,0.36200000000000004,cs,185.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NA2XS2Y 1x240 RM/25 12/20 kV,50.0,0.122,0.11199999999999999,304.0,0.42100000000000004,cs,240.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NA2XS2Y 1x95 RM/25 12/20 kV,50.0,0.313,0.132,216.0,0.252,cs,95.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NAYY 4x120 SE,50.0,0.225,0.08,264.0,0.242,cs,120.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NAYY 4x150 SE,50.0,0.20800000000000002,0.08,261.0,0.27,cs,150.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NAYY 4x50 SE,50.0,0.642,0.083,210.0,0.142,cs,50.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
Al/St 240/40 2-bundle 220.0,50.0,0.06,0.301,12.5,1.29,ol,240.0,"Oeding and Oswald ""Elektrische Kraftwerke und Netze"", 2011, Chapter 9"
Al/St 240/40 3-bundle 300.0,50.0,0.04,0.265,13.2,1.935,ol,240.0,"Oeding and Oswald ""Elektrische Kraftwerke und Netze"", 2011, Chapter 9"
Al/St 240/40 4-bundle 380.0,50.0,0.03,0.24600000000000002,13.8,2.58,ol,240.0,"Oeding and Oswald ""Elektrische Kraftwerke und Netze"", 2011, Chapter 9"
N2XS2Y1x035,50.0,0.524,0.14105751014618173,219.0,187.0,cable,35.0,custom
N2XS2Y1x050,50.0,0.387,0.1341460063082842,243.0,220.0,cable,50.0,custom
N2XS2Y1x070,50.0,0.268,0.12692034320502762,275.0,268.0,cable,70.0,custom
N2XS2Y1x095,50.0,0.193,0.12095131716320703,309.0,320.0,cable,95.0,custom
N2XS2Y1x120,50.0,0.153,0.11686724671354033,339.0,363.0,cable,120.0,custom
N2XS2Y1x150,50.0,0.124,0.11309733552923255,367.0,405.0,cable,150.0,custom
N2XS2Y1x185,50.0,0.0991,0.10901326507956584,400.0,456.0,cable,185.0,custom
N2XS2Y1x240,50.0,0.0754,0.10492919462989908,446.0,526.0,cable,240.0,custom
N2XS2Y1x300,50.0,0.0601,0.10210176124166828,489.0,591.0,cable,300.0,custom
N2XS2Y1x400,50.0,0.047,0.09896016858807849,542.0,662.0,cable,400.0,custom
N2XS2Y1x500,50.0,0.069,0.09613273519984768,603.0,744.0,cable,500.0,custom
N2XS2Y1x035,50.0,0.524,0.152053084433746,155.0,189.0,cable,35.0,custom
