"","code","type","U","size","R","L","G","C","max_I","cost","comment","creation"
"1","N2XS2Y1","N2XS2Y1x035","10",35,0.524,0.449,0,219,187,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"2","N2XS2Y1","N2XS2Y1x050","10",50,0.387,0.427,0,243,220,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"3","N2XS2Y1","N2XS2Y1x070","10",70,0.268,0.404,0,275,268,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"4","N2XS2Y1","N2XS2Y1x095","10",95,0.193,0.385,0,309,320,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"5","N2XS2Y1","N2XS2Y1x120","10",120,0.153,0.372,0,339,363,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"6","N2XS2Y1","N2XS2Y1x150","10",150,0.124,0.36,0,367,405,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"7","N2XS2Y1","N2XS2Y1x185","10",185,0.0991,0.347,0,400,456,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"8","N2XS2Y1","N2XS2Y1x240","10",240,0.0754,0.334,0,446,526,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"9","N2XS2Y1","N2XS2Y1x300","10",300,0.0601,0.325,0,489,591,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"10","N2XS2Y1","N2XS2Y1x400","10",400,0.047,0.315,0,542,662,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"11","N2XS2Y1","N2XS2Y1x500","10",500,0.069,0.306,0,603,744,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"12","N2XS2Y1","N2XS2Y1x035","20",35,0.524,0.484,0,155,189,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"13","N2XS2Y1","N2XS2Y1x050","20",50,0.387,0.462,0,171,222,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"14","N2XS2Y1","N2XS2Y1x070","20",70,0.268,0.436,0,191,271,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"15","N2XS2Y1","N2XS2Y1x095","20",95,0.193,0.414,0,212,323,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"16","N2XS2Y1","N2XS2Y1x120","20",120,0.153,0.398,0,231,367,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"17","N2XS2Y1","N2XS2Y1x150","20",150,0.124,0.385,0,249,409,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"18","N2XS2Y1","N2XS2Y1x185","20",185,0.0991,0.372,0,270,461,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"19","N2XS2Y1","N2XS2Y1x240","20",240,0.0754,0.357,0,298,532,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"20","N2XS2Y1","N2XS2Y1x300","20",300,0.0601,0.347,0,325,599,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"21","N2XS2Y1","N2XS2Y1x400","20",400,0.047,0.337,0,358,671,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"22","N2XS2Y1","N2XS2Y1x500","20",500,0.069,0.325,0,396,754,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"23","N2XS2Y1","N2XS2Y1x035","30",35,0.524,0.519,0,122,187,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"24","N2XS2Y1","N2XS2Y1x050","30",50,0.387,0.493,0,133,220,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"25","N2XS2Y1","N2XS2Y1x070","30",70,0.268,0.465,0,148,268,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"26","N2XS2Y1","N2XS2Y1x095","30",95,0.193,0.442,0,163,320,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"27","N2XS2Y1","N2XS2Y1x120","30",120,0.153,0.427,0,176,363,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"28","N2XS2Y1","N2XS2Y1x150","30",150,0.124,0.414,0,188,405,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"29","N2XS2Y1","N2XS2Y1x185","30",185,0.0991,0.398,0,203,456,NA,"MV single line cable Cu VPE","BK 2014, ABB"
"30","N2XS2Y1","N2XS2Y1x240","30",240,0.0754,0.382,0,223,526,NA,"MV single line cable Cu VPE","BK 2014, ABB"
